dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32,rul
test_FD001,999132,32,2,12/31/2017 22:28,AXM,WMKK,VVTS,-0.0015,-0.0004,100,518.67,1561.41,1580.6,1402.38,14.62,21.61,554.77,2387.97,9062.7,1.3,47.01,522.98,2387.99,8151.95,8.3824,0.03,392,2388,100,39.03,23.5346,48.0
test_FD001,999132,32,1,12/31/2017 19:47,AXM,VDPP,WMKK,-0.0006,0.0004,100,518.67,1561.9,1580.94,1400.1,14.62,21.61,554.13,2387.97,9073.46,1.3,47.12,522.47,2387.98,8149.27,8.3727,0.03,391,2388,100,38.9,23.3463,48.0
test_FD001,999132,32,104,1/16/2018 22:50,AXM,WMKK,VDSV,0.0017,0.0,100,518.67,1561.68,1582.46,1404.64,14.62,21.61,554.21,2388.02,9083.93,1.3,47.47,522.07,2387.98,8158.82,8.3867,0.03,392,2388,100,38.81,23.3026,48.0
test_FD001,999132,32,22,1/4/2018 6:10,AXM,VTBD,WMKK,0.0022,0.0002,100,518.67,1561.7900000000002,1582.34,1397.81,14.62,21.61,553.98,2387.98,9073.24,1.3,47.23,522.62,2387.99,8148.5,8.3911,0.03,392,2388,100,38.99,23.4076,48.0
test_FD001,999132,32,76,1/13/2018 2:33,AXM,WMKK,WMKC,-0.0021,0.0003,100,518.67,1561.16,1586.79,1401.62,14.62,21.6,554.29,2387.96,9072.61,1.3,47.11,522.23,2388.03,8149.48,8.4261,0.03,392,2388,100,39.02,23.4069,48.0
test_FD001,999132,32,15,1/3/2018 3:30,AXM,WMKK,VTBD,0.0005,0.0005,100,518.67,1561.73,1580.31,1407.31,14.62,21.61,554.83,2387.98,9068.84,1.3,46.84,522.47,2388.04,8145.91,8.4041,0.03,392,2388,100,39.18,23.3727,48.0
test_FD001,999132,32,92,1/15/2018 16:05,AXM,WMKK,WIMM,-0.0043,0.0,100,518.67,1561.97,1585.94,1402.18,14.62,21.61,554.66,2388.06,9072.4,1.3,47.34,522.27,2387.98,8153.01,8.4054,0.03,393,2388,100,38.97,23.3494,48.0
test_FD001,999132,32,89,1/15/2018 1:41,AXM,WMKK,WMKL,-0.0006,0.0002,100,518.67,1561.21,1591.76,1400.8,14.62,21.61,553.77,2388.0,9080.86,1.3,47.12,522.45,2387.97,8153.57,8.3965,0.03,391,2388,100,39.1,23.3679,48.0
test_FD001,999132,32,10,1/2/2018 7:23,AXM,VHHH,WMKK,0.0004,-0.0002,100,518.67,1561.0300000000002,1581.34,1402.23,14.62,21.61,554.17,2387.92,9068.51,1.3,47.17,522.17,2388.02,8156.27,8.3857,0.03,390,2388,100,39.09,23.4791,48.0
test_FD001,999132,32,3,1/1/2018 0:55,AXM,VVTS,WMKK,0.0022,0.0001,100,518.67,1561.46,1577.59,1392.72,14.62,21.61,554.66,2387.93,9059.26,1.3,47.12,522.94,2387.94,8148.36,8.4236,0.03,392,2388,100,39.23,23.369,48.0
test_FD001,999132,32,44,1/9/2018 0:04,AXM,WMKK,WBKK,0.0011,-0.0001,100,518.67,1561.65,1582.44,1397.04,14.62,21.61,554.9,2388.02,9074.73,1.3,47.11,522.51,2388.0,8150.48,8.4017,0.03,391,2388,100,39.16,23.3769,48.0
test_FD001,999132,32,84,1/14/2018 3:52,AXM,WMKL,WMKK,0.0039,0.0001,100,518.67,1561.43,1584.74,1402.4,14.62,21.6,554.67,2387.98,9074.68,1.3,47.18,522.51,2387.94,8149.69,8.4364,0.03,392,2388,100,38.88,23.4548,48.0
test_FD001,999132,32,52,1/10/2018 2:50,AXM,WIII,WMKK,0.0003,-0.0004,100,518.67,1561.5,1582.08,1395.51,14.62,21.61,554.69,2387.97,9066.99,1.3,47.15,522.72,2388.01,8147.41,8.3996,0.03,392,2388,100,38.82,23.4306,48.0
test_FD001,999132,32,72,1/12/2018 15:31,AXM,WMKK,VHHH,0.0009,0.0004,100,518.67,1561.5500000000002,1593.93,1402.91,14.62,21.61,554.37,2388.03,9066.64,1.3,47.28,522.73,2387.93,8154.17,8.3857,0.03,392,2388,100,39.07,23.3905,48.0
test_FD001,999132,32,121,1/19/2018 15:43,AXM,WMKK,VDSR,0.0008,0.0004,100,518.67,1562.26,1586.24,1400.99,14.62,21.61,554.39,2388.02,9079.75,1.3,47.26,522.22,2387.99,8159.39,8.413,0.03,391,2388,100,39.01,23.2929,48.0
test_FD001,999132,32,43,1/8/2018 20:08,AXM,VDPP,WMKK,-0.0015,-0.0002,100,518.67,1561.67,1584.88,1397.88,14.62,21.61,554.85,2388.05,9067.37,1.3,47.22,523.37,2387.98,8148.94,8.3949,0.03,392,2388,100,38.94,23.4996,48.0
test_FD001,999132,32,70,1/12/2018 5:50,AXM,WMKK,WBGS,-0.0022,0.0004,100,518.67,1561.5700000000002,1591.54,1401.27,14.62,21.61,553.96,2388.02,9072.15,1.3,47.12,521.76,2388.01,8154.13,8.4021,0.03,390,2388,100,38.91,23.3908,48.0
test_FD001,999132,32,111,1/18/2018 1:54,AXM,WMKK,VMMC,-0.0013,-0.0004,100,518.67,1561.67,1581.46,1408.33,14.62,21.61,554.65,2388.02,9089.03,1.3,47.33,522.28,2388.0,8159.48,8.4236,0.03,393,2388,100,38.85,23.3087,48.0
test_FD001,999132,32,28,1/6/2018 1:03,AXM,RCKH,WMKK,-0.0026,-0.0003,100,518.67,1561.88,1588.72,1401.59,14.62,21.61,555.05,2388.02,9066.63,1.3,47.09,522.27,2387.98,8153.66,8.3914,0.03,392,2388,100,39.1,23.4286,48.0
test_FD001,999132,32,48,1/9/2018 15:54,AXM,WMKK,WBKW,-0.0002,0.0004,100,518.67,1561.52,1581.62,1388.29,14.62,21.61,554.97,2387.95,9068.21,1.3,47.13,522.09,2387.96,8154.0,8.4029,0.03,393,2388,100,39.03,23.4536,48.0
test_FD001,999132,32,129,1/20/2018 16:52,AXM,WMKK,VDSR,0.0019,0.0004,100,518.67,1562.25,1592.22,1406.04,14.62,21.61,553.43,2388.0,9095.33,1.3,47.44,521.54,2388.06,8168.05,8.4288,0.03,391,2388,100,38.97,23.2816,48.0
test_FD001,999132,32,126,1/20/2018 2:57,AXM,WMKK,VTSP,0.003,-0.0005,100,518.67,1562.0400000000002,1588.34,1403.81,14.62,21.61,553.72,2387.99,9082.61,1.3,47.26,522.48,2388.06,8162.36,8.4013,0.03,393,2388,100,39.05,23.3539,48.0
test_FD001,999132,32,59,1/10/2018 20:18,AXM,WMKK,WMKK,-0.0037,0.0004,100,518.67,1561.37,1580.19,1399.31,14.62,21.61,554.81,2388.0,9073.94,1.3,47.14,522.34,2388.05,8151.42,8.3544,0.03,394,2388,100,38.76,23.4782,48.0
test_FD001,999132,32,35,1/7/2018 7:29,AXM,VHHH,WMKK,-0.0029,-0.0003,100,518.67,1561.47,1579.64,1395.67,14.62,21.61,554.59,2387.98,9063.54,1.3,47.18,522.74,2387.98,8154.05,8.393,0.03,392,2388,100,39.05,23.477,48.0
test_FD001,999132,32,143,1/22/2018 22:56,AXM,WMKK,WBGS,-0.0007,-0.0004,100,518.67,1561.86,1591.04,1408.94,14.62,21.61,554.12,2388.04,9097.68,1.3,47.5,521.44,2388.03,8173.26,8.4722,0.03,392,2388,100,38.81,23.2871,48.0
test_FD001,999132,32,125,1/20/2018 0:30,AXM,WBGG,WMKK,-0.0005,0.0004,100,518.67,1561.2,1587.5,1402.2,14.62,21.61,553.61,2387.99,9082.2,1.3,47.29,522.4,2387.98,8167.44,8.4269,0.03,390,2388,100,38.81,23.3166,48.0
test_FD001,999132,32,113,1/18/2018 6:13,AXM,VMMC,WMKK,0.0024,0.0001,100,518.67,1561.5500000000002,1591.51,1400.26,14.62,21.61,554.65,2388.01,9076.5,1.3,47.34,522.35,2388.02,8157.96,8.4201,0.03,393,2388,100,39.0,23.2891,48.0
test_FD001,999132,32,46,1/9/2018 6:18,AXM,WMKK,WBGG,-0.0019,0.0,100,518.67,1561.73,1586.03,1391.03,14.62,21.61,554.73,2387.95,9075.74,1.3,47.32,522.12,2388.02,8148.66,8.4313,0.03,391,2388,100,39.21,23.4268,48.0
test_FD001,999132,32,42,1/8/2018 18:00,AXM,WMKK,VDPP,-0.001,-0.0003,100,518.67,1561.5,1585.67,1396.2,14.62,21.61,554.64,2387.97,9071.39,1.3,47.01,521.98,2387.98,8148.89,8.3837,0.03,392,2388,100,39.11,23.4139,48.0
test_FD001,999132,32,11,1/2/2018 16:37,AXM,WMKK,VMMC,-0.0019,-0.0002,100,518.67,1561.02,1582.91,1397.37,14.62,21.61,554.8,2387.91,9073.71,1.3,47.17,522.51,2387.97,8154.16,8.397,0.03,393,2388,100,39.04,23.409,48.0
test_FD001,999132,32,60,1/10/2018 23:18,AXM,WMKK,VTCC,-0.0003,-0.0001,100,518.67,1561.16,1577.54,1396.14,14.62,21.61,554.5,2387.98,9070.1,1.3,47.06,522.21,2388.09,8156.01,8.3789,0.03,390,2388,100,39.08,23.4629,48.0
test_FD001,999132,32,123,1/19/2018 19:21,AXM,VDSR,WMKK,0.0005,-0.0004,100,518.67,1561.71,1590.68,1405.79,14.62,21.61,553.81,2388.02,9092.23,1.3,47.36,521.99,2388.08,8166.58,8.3786,0.03,392,2388,100,38.86,23.3489,48.0
test_FD001,999132,32,109,1/17/2018 16:50,AXM,WMKK,VMMC,-0.0001,0.0001,100,518.67,1561.95,1589.32,1395.8,14.62,21.61,554.21,2388.06,9085.01,1.3,47.47,522.21,2387.98,8161.41,8.4246,0.03,392,2388,100,39.12,23.3281,48.0
test_FD001,999132,32,11,1/2/2018 16:37,AXM,WMKK,VMMC,-0.0019,-0.0002,100,518.67,1561.02,1582.91,1397.37,14.62,21.61,554.8,2387.91,9073.71,1.3,47.17,522.51,2387.97,8154.16,8.397,0.03,393,2388,100,39.04,23.409,48.0
test_FD001,999132,32,14,1/3/2018 1:01,AXM,VVTS,WMKK,0.0001,-0.0003,100,518.67,1561.62,1583.49,1397.33,14.62,21.61,554.52,2387.97,9065.61,1.3,47.24,523.1,2387.96,8144.13,8.4116,0.03,392,2388,100,39.16,23.4562,48.0
test_FD001,999132,32,24,1/5/2018 4:55,AXM,WMKK,VVTS,0.0006,0.0001,100,518.67,1561.39,1581.65,1396.91,14.62,21.6,554.47,2388.03,9071.93,1.3,47.19,522.43,2388.03,8149.1,8.38,0.03,390,2388,100,39.05,23.4839,48.0
test_FD001,999132,32,98,1/16/2018 1:00,AXM,WMKP,WMKK,0.0032,0.0003,100,518.67,1561.46,1584.77,1404.77,14.62,21.61,554.14,2388.06,9077.81,1.3,47.26,522.14,2388.06,8162.46,8.4314,0.03,394,2388,100,39.05,23.4245,48.0
test_FD001,999132,32,9,1/2/2018 2:27,AXM,WMKK,VHHH,0.0041,-0.0003,100,518.67,1561.27,1586.29,1396.05,14.62,21.61,554.79,2387.93,9066.77,1.3,47.11,522.27,2387.99,8149.56,8.4217,0.03,392,2388,100,38.89,23.421,48.0
test_FD001,999132,32,134,1/21/2018 19:10,AXM,WMKK,RPMD,0.0012,-0.0002,100,518.67,1561.2800000000002,1591.86,1405.08,14.62,21.61,553.52,2388.01,9079.97,1.3,47.44,521.66,2388.0,8169.05,8.4227,0.03,393,2388,100,38.88,23.3362,48.0
test_FD001,999132,32,91,1/15/2018 6:53,AXM,WARR,WMKK,-0.0002,0.0004,100,518.67,1561.6,1590.79,1395.72,14.62,21.61,554.18,2387.98,9081.1,1.3,47.28,522.1,2388.04,8159.2,8.4277,0.03,391,2388,100,39.07,23.2482,48.0
test_FD001,999132,32,15,1/3/2018 3:30,AXM,WMKK,VTBD,0.0005,0.0005,100,518.67,1561.73,1580.31,1407.31,14.62,21.61,554.83,2387.98,9068.84,1.3,46.84,522.47,2388.04,8145.91,8.4041,0.03,392,2388,100,39.18,23.3727,48.0
test_FD001,999132,32,122,1/19/2018 16:52,AXM,WMKK,VDSR,-0.0011,0.0002,100,518.67,1561.96,1586.59,1407.9,14.62,21.61,553.56,2388.02,9077.75,1.3,47.26,521.82,2387.97,8163.41,8.4198,0.03,394,2388,100,39.02,23.3983,48.0
test_FD001,999132,32,41,1/8/2018 17:00,AXM,WMKK,VDPP,-0.0002,0.0,100,518.67,1561.2800000000002,1585.1,1395.4,14.62,21.61,554.89,2388.02,9063.49,1.3,47.16,522.27,2387.97,8150.3,8.3629,0.03,393,2388,100,39.08,23.5023,48.0
test_FD001,999132,32,19,1/3/2018 22:25,AXM,WMKK,VVTS,0.0033,0.0004,100,518.67,1561.65,1583.3,1393.45,14.62,21.61,554.73,2387.99,9070.44,1.3,47.0,522.34,2387.99,8151.4,8.3752,0.03,391,2388,100,39.04,23.501,48.0
test_FD001,999132,32,32,1/6/2018 18:39,AXM,WMKK,WAAA,-0.0031,-0.0003,100,518.67,1561.47,1583.11,1395.99,14.62,21.6,554.32,2387.98,9065.41,1.3,47.35,522.25,2388.02,8149.89,8.3807,0.03,391,2388,100,39.16,23.348,48.0
test_FD001,999132,32,26,1/5/2018 20:09,AXM,WMKK,RCKH,0.0003,0.0005,100,518.67,1561.48,1582.97,1392.25,14.62,21.61,554.32,2387.97,9068.79,1.3,47.28,522.07,2387.98,8150.89,8.3806,0.03,392,2388,100,39.24,23.4735,48.0
test_FD001,999132,32,95,1/15/2018 20:40,AXM,WMKK,WMKP,-0.0007,-0.0004,100,518.67,1561.68,1587.44,1399.85,14.62,21.61,553.99,2387.99,9070.67,1.3,47.22,522.48,2388.03,8158.5,8.4423,0.03,394,2388,100,38.85,23.326,48.0
test_FD001,999132,32,83,1/14/2018 2:21,AXM,WMKK,WMKL,0.0,0.0002,100,518.67,1561.36,1589.36,1390.65,14.62,21.61,554.21,2388.03,9078.6,1.3,47.16,522.25,2387.93,8157.08,8.3918,0.03,392,2388,100,38.98,23.3544,48.0
test_FD001,999132,32,96,1/15/2018 22:04,AXM,WMKP,WMKK,0.0004,0.0004,100,518.67,1561.67,1580.06,1399.15,14.62,21.61,553.97,2388.0,9071.74,1.3,47.18,522.3,2388.06,8158.72,8.4125,0.03,392,2388,100,39.09,23.3995,48.0
test_FD001,999132,32,66,1/11/2018 23:57,AXM,WMKK,WBSB,-0.0004,-0.0003,100,518.67,1561.5400000000002,1585.04,1400.23,14.62,21.61,553.88,2388.04,9078.1,1.3,47.28,522.56,2387.96,8151.68,8.4221,0.03,392,2388,100,39.01,23.3697,48.0
test_FD001,999132,32,62,1/11/2018 6:49,AXM,WMKK,WBGR,-0.0024,-0.0003,100,518.67,1561.2900000000002,1580.36,1397.27,14.62,21.61,554.9,2388.03,9073.08,1.3,47.14,521.92,2387.99,8149.0,8.4181,0.03,392,2388,100,39.08,23.4321,48.0
test_FD001,999132,32,100,1/16/2018 6:12,AXM,WADD,WMKK,-0.0032,-0.0004,100,518.67,1561.64,1592.42,1391.84,14.62,21.61,554.52,2388.01,9079.37,1.3,47.33,522.51,2388.02,8158.9,8.4016,0.03,392,2388,100,39.01,23.4755,48.0
test_FD001,999132,32,13,1/2/2018 22:25,AXM,WMKK,VVTS,0.001,0.0004,100,518.67,1561.35,1586.19,1386.36,14.62,21.61,554.3,2388.0,9073.31,1.3,47.16,522.86,2387.99,8149.2,8.4185,0.03,391,2388,100,38.96,23.4495,48.0
test_FD001,999132,32,115,1/18/2018 18:14,AXM,WMKK,WAAA,-0.0016,0.0005,100,518.67,1561.34,1586.2,1405.69,14.62,21.61,553.68,2387.98,9074.0,1.3,47.3,522.37,2387.98,8165.16,8.4103,0.03,393,2388,100,39.04,23.3842,48.0
test_FD001,999132,32,65,1/11/2018 20:52,AXM,WBKK,WMKK,-0.0011,0.0004,100,518.67,1561.73,1581.72,1394.74,14.62,21.61,555.17,2388.01,9063.56,1.3,47.25,522.5,2388.04,8147.56,8.4072,0.03,390,2388,100,39.21,23.4497,48.0
test_FD001,999132,32,136,1/22/2018 0:51,AXM,RPMD,WMKK,0.0039,-0.0003,100,518.67,1561.77,1594.5,1401.67,14.62,21.61,554.02,2388.04,9097.55,1.3,47.37,521.32,2388.04,8173.66,8.4279,0.03,392,2388,100,38.86,23.3048,48.0
test_FD001,999132,32,73,1/12/2018 16:47,AXM,WMKK,VHHH,0.0003,-0.0002,100,518.67,1561.22,1578.16,1399.36,14.62,21.61,555.2,2387.99,9074.13,1.3,47.28,522.1,2387.95,8157.22,8.4026,0.03,393,2388,100,38.91,23.4211,48.0
test_FD001,999132,32,54,1/10/2018 5:43,AXM,WMKK,WIII,0.0011,0.0002,100,518.67,1561.23,1586.66,1396.72,14.62,21.61,555.21,2388.04,9069.38,1.3,47.16,522.45,2387.95,8149.49,8.4052,0.03,392,2388,100,39.01,23.4127,48.0
test_FD001,999132,32,140,1/22/2018 17:15,AXM,WMKK,WBGG,-0.0003,0.0,100,518.67,1561.6,1587.62,1406.81,14.62,21.61,553.86,2388.04,9089.22,1.3,47.41,521.98,2388.08,8164.75,8.4312,0.03,394,2388,100,38.96,23.3091,48.0
test_FD001,999132,32,107,1/17/2018 6:26,AXM,WBKL,WMKK,0.0017,-0.0001,100,518.67,1562.0600000000002,1586.81,1403.07,14.62,21.61,554.5,2387.96,9079.41,1.3,47.5,522.26,2388.05,8163.22,8.3955,0.03,391,2388,100,38.89,23.3518,48.0
test_FD001,999132,32,14,1/3/2018 1:01,AXM,VVTS,WMKK,0.0001,-0.0003,100,518.67,1561.62,1583.49,1397.33,14.62,21.61,554.52,2387.97,9065.61,1.3,47.24,523.1,2387.96,8144.13,8.4116,0.03,392,2388,100,39.16,23.4562,48.0
test_FD001,999132,32,141,1/22/2018 18:30,AXM,WMKK,WBGG,0.0028,0.0002,100,518.67,1561.73,1591.17,1410.86,14.62,21.61,553.96,2388.0,9096.42,1.3,47.5,521.63,2388.04,8170.46,8.4454,0.03,394,2388,100,38.84,23.2496,48.0
test_FD001,999132,32,124,1/19/2018 22:18,AXM,WMKK,WBGG,-0.0047,0.0004,100,518.67,1561.5,1588.86,1405.44,14.62,21.61,553.76,2388.01,9083.69,1.3,47.25,522.07,2388.0,8166.06,8.4284,0.03,392,2388,100,38.91,23.4383,48.0
test_FD001,999132,32,109,1/17/2018 16:50,AXM,WMKK,VMMC,-0.0001,0.0001,100,518.67,1561.95,1589.32,1395.8,14.62,21.61,554.21,2388.06,9085.01,1.3,47.47,522.21,2387.98,8161.41,8.4246,0.03,392,2388,100,39.12,23.3281,48.0
test_FD001,999132,32,69,1/12/2018 2:50,AXM,WBSB,WMKK,-0.0001,0.0003,100,518.67,1561.5300000000002,1579.07,1399.48,14.62,21.6,555.0,2388.0,9074.91,1.3,47.15,522.02,2388.01,8152.05,8.3722,0.03,390,2388,100,38.97,23.3134,48.0
test_FD001,999132,32,33,1/6/2018 22:26,AXM,WAAA,WMKK,-0.0002,-0.0002,100,518.67,1561.2900000000002,1584.21,1392.21,14.62,21.61,554.65,2387.97,9071.29,1.3,47.12,522.85,2388.01,8149.49,8.409,0.03,392,2388,100,39.15,23.3493,48.0
test_FD001,999132,32,106,1/17/2018 3:43,AXM,WMKK,WBKL,0.0032,-0.0003,100,518.67,1561.18,1588.04,1405.64,14.62,21.61,554.37,2387.99,9083.36,1.3,47.34,521.57,2387.99,8151.82,8.4407,0.03,391,2388,100,38.85,23.3636,48.0
test_FD001,999132,32,29,1/6/2018 4:59,AXM,WMKK,WBGR,-0.0017,0.0002,100,518.67,1561.5600000000002,1579.54,1398.81,14.62,21.61,554.59,2388.05,9070.37,1.3,47.26,522.96,2388.02,8151.48,8.3653,0.03,391,2388,100,38.93,23.4727,48.0
test_FD001,999132,32,30,1/6/2018 6:25,AXM,WMKK,WBGR,0.0038,-0.0004,100,518.67,1561.7,1576.81,1393.21,14.62,21.61,554.71,2387.93,9063.98,1.3,47.35,522.76,2387.99,8152.37,8.3881,0.03,390,2388,100,39.18,23.3929,48.0
test_FD001,999132,32,138,1/22/2018 5:26,AXM,WMKP,WMKK,0.0049,0.0005,100,518.67,1561.64,1584.23,1404.02,14.62,21.61,553.08,2388.02,9098.8,1.3,47.36,521.56,2388.06,8171.94,8.4537,0.03,393,2388,100,38.97,23.2626,48.0
test_FD001,999132,32,25,1/5/2018 7:35,AXM,VVTS,WMKK,0.0014,0.0003,100,518.67,1562.13,1586.33,1396.01,14.62,21.6,554.61,2388.04,9073.04,1.3,47.35,522.97,2387.97,8156.59,8.4072,0.03,392,2388,100,38.92,23.5009,48.0
test_FD001,999132,32,5,1/1/2018 6:27,AXM,VTBD,WMKK,0.0017,0.0004,100,518.67,1561.7,1582.79,1401.09,14.62,21.61,554.4,2387.99,9074.31,1.3,47.1,522.52,2387.96,8150.86,8.3891,0.03,391,2388,100,39.03,23.3621,48.0
test_FD001,999132,32,84,1/14/2018 3:52,AXM,WMKL,WMKK,0.0039,0.0001,100,518.67,1561.43,1584.74,1402.4,14.62,21.6,554.67,2387.98,9074.68,1.3,47.18,522.51,2387.94,8149.69,8.4364,0.03,392,2388,100,38.88,23.4548,48.0
test_FD001,999132,32,34,1/7/2018 2:16,AXM,WMKK,VHHH,-0.001,0.0004,100,518.67,1561.5500000000002,1584.03,1392.21,14.62,21.61,554.33,2388.01,9071.82,1.3,47.06,522.62,2387.98,8146.77,8.423,0.03,391,2388,100,39.16,23.3428,48.0
test_FD001,999132,32,50,1/9/2018 20:32,AXM,WBKW,WMKK,0.0003,0.0003,100,518.67,1561.75,1584.35,1398.47,14.62,21.6,554.29,2387.99,9064.27,1.3,47.08,522.83,2387.99,8153.55,8.3818,0.03,390,2388,100,39.15,23.4114,48.0
test_FD001,999132,32,47,1/9/2018 8:23,AXM,WBGG,WMKK,-0.0036,0.0,100,518.67,1561.5600000000002,1589.18,1400.22,14.62,21.61,553.92,2387.99,9071.42,1.3,47.2,522.41,2388.0,8153.92,8.4034,0.03,392,2388,100,39.1,23.2744,48.0
test_FD001,999132,32,142,1/22/2018 20:35,AXM,WBGG,WMKK,0.0014,0.0005,100,518.67,1562.13,1590.71,1408.99,14.62,21.61,553.87,2388.04,9102.19,1.3,47.41,521.9,2388.02,8175.01,8.417,0.03,393,2388,100,38.61,23.2316,48.0
